liwc_posemo,liwc_negemo,liwc_anxiety,liwc_anger,liwc_sadness,liwc_cogproc,liwc_tentativeness,liwc_self_focus,liwc_social,liwc_work,liwc_time_pressure,liwc_somatic,liwc_coping
0.0,2.96,2.96,0.0,0.0,9.63,1.48,7.41,1.48,6.67,11.85,0.0,1.6675
1.0,0.5,0.5,0.0,0.0,15.5,1.5,7.5,1.0,5.0,8.0,0.0,0.5
0.0,1.6,1.6,0.0,0.0,14.89,2.13,10.11,0.0,5.32,11.7,0.0,1.065
1.18,1.78,0.59,0.0,0.0,13.02,1.18,9.47,1.78,7.69,8.28,0.59,1.9224999999999999
1.07,1.07,1.07,0.0,0.0,11.76,2.67,11.76,0.53,5.35,8.02,0.0,1.47
0.93,2.33,2.33,0.0,0.0,12.56,1.86,7.91,2.33,5.58,9.3,0.235,1.0474999999999999
0.34,2.02,1.35,0.0,0.0,14.14,2.36,5.05,2.69,5.05,10.77,0.34,0.925
0.0,1.45,1.45,0.0,0.0,12.32,1.45,4.35,2.17,4.35,7.97,0.0,1.2675
0.93,0.46,0.46,0.0,0.0,14.81,2.78,4.63,0.0,3.7,14.81,0.0,0.81
0.74,1.12,1.12,0.0,0.0,14.5,1.49,5.2,0.74,4.09,14.5,0.0,1.0225
0.36,1.81,1.81,0.0,0.0,13.77,1.81,9.06,3.62,1.09,10.51,0.0,0.6325000000000001
2.0,2.0,2.0,0.0,0.0,12.67,2.67,10.0,1.33,5.33,11.33,0.0,1.6675
1.45,2.42,1.93,0.0,0.0,11.59,2.9,8.7,0.0,1.93,10.63,0.24,0.4825
0.0,1.55,1.04,0.0,0.0,11.92,1.55,4.66,0.52,2.59,16.06,0.0,0.7775
0.0,1.77,0.88,0.88,0.0,16.81,2.65,11.5,1.77,3.54,11.5,0.0,1.55
1.0,3.48,1.99,0.0,0.0,12.94,1.99,8.96,0.0,2.49,10.45,0.995,0.6225
1.51,2.51,1.51,0.0,0.0,15.08,3.02,12.56,0.0,3.52,8.54,1.255,0.88
2.17,3.8,2.72,0.0,0.0,13.04,2.72,11.41,0.0,2.72,11.41,0.8150000000000001,0.815
2.09,4.19,2.09,0.0,0.0,15.18,1.05,8.9,0.0,1.57,12.04,1.305,0.5225
0.78,2.34,1.56,0.0,0.0,17.97,0.78,12.5,0.0,3.91,10.94,0.78,1.1725
0.0,4.03,4.03,0.0,0.0,12.75,0.67,9.4,0.0,6.04,10.74,0.67,1.6775
0.79,2.38,2.38,0.0,0.0,11.9,1.59,10.32,1.59,4.76,9.52,0.395,0.9925
2.45,2.45,1.47,0.0,0.0,10.78,1.96,9.31,1.47,3.92,7.35,0.735,0.8575
2.92,1.17,0.58,0.58,0.0,16.37,2.92,8.19,1.75,4.09,15.2,0.29,0.1475
4.95,3.47,2.48,0.0,0.0,17.33,3.47,6.44,0.5,3.47,14.36,0.5,0.62
2.03,2.54,1.02,0.51,0.0,15.23,2.03,13.2,0.51,1.02,14.72,1.27,0.37999999999999995
6.22,0.52,0.0,0.52,0.0,11.92,2.59,11.4,3.11,1.55,13.99,0.26,0.6475
3.85,2.31,2.31,0.0,0.0,20.77,3.08,8.46,0.0,5.38,12.31,0.0,1.5375
0.0,4.44,4.44,0.0,0.0,15.56,1.11,5.56,3.33,3.33,7.78,0.0,0.2775
0.84,2.11,1.69,0.0,0.0,18.99,2.53,9.28,4.22,0.84,10.97,0.63,0.845
1.69,3.8,2.95,0.0,0.0,13.5,2.95,6.33,1.69,2.11,9.7,1.055,0.8424999999999999
